Prey ,518, Predator ,450, Grass ,1153
Prey ,515, Predator ,453, Grass ,1150
Prey ,505, Predator ,455, Grass ,1157
Prey ,500, Predator ,459, Grass ,1147
Prey ,490, Predator ,455, Grass ,1140
Prey ,504, Predator ,456, Grass ,1139
Prey ,526, Predator ,455, Grass ,1137
Prey ,510, Predator ,445, Grass ,1129
Prey ,521, Predator ,449, Grass ,1122
Prey ,532, Predator ,455, Grass ,1141
Prey ,524, Predator ,454, Grass ,1124
Prey ,522, Predator ,456, Grass ,1136
Prey ,509, Predator ,463, Grass ,1135
Prey ,505, Predator ,470, Grass ,1136
Prey ,489, Predator ,463, Grass ,1136
Prey ,502, Predator ,468, Grass ,1139
Prey ,485, Predator ,479, Grass ,1132
Prey ,467, Predator ,477, Grass ,1134
Prey ,458, Predator ,479, Grass ,1137
Prey ,463, Predator ,475, Grass ,1141
Prey ,446, Predator ,474, Grass ,1136
Prey ,463, Predator ,474, Grass ,1144
Prey ,428, Predator ,479, Grass ,1152
Prey ,396, Predator ,470, Grass ,1162
Prey ,393, Predator ,480, Grass ,1173
Prey ,413, Predator ,483, Grass ,1166
Prey ,416, Predator ,482, Grass ,1165
Prey ,424, Predator ,482, Grass ,1173
Prey ,421, Predator ,482, Grass ,1169
Prey ,399, Predator ,481, Grass ,1172
Prey ,398, Predator ,481, Grass ,1184
Prey ,398, Predator ,483, Grass ,1191
Prey ,385, Predator ,476, Grass ,1186
Prey ,398, Predator ,478, Grass ,1189
Prey ,403, Predator ,475, Grass ,1187
Prey ,410, Predator ,468, Grass ,1194
Prey ,391, Predator ,466, Grass ,1189
Prey ,401, Predator ,463, Grass ,1211
Prey ,418, Predator ,463, Grass ,1215
Prey ,416, Predator ,463, Grass ,1217
Prey ,416, Predator ,466, Grass ,1217
Prey ,432, Predator ,468, Grass ,1229
Prey ,449, Predator ,463, Grass ,1222
Prey ,442, Predator ,457, Grass ,1218
Prey ,452, Predator ,470, Grass ,1218
Prey ,456, Predator ,471, Grass ,1233
Prey ,450, Predator ,479, Grass ,1244
Prey ,462, Predator ,475, Grass ,1246
Prey ,457, Predator ,482, Grass ,1249
Prey ,474, Predator ,475, Grass ,1247
Prey ,471, Predator ,473, Grass ,1249
Prey ,467, Predator ,469, Grass ,1243
Prey ,470, Predator ,471, Grass ,1229
Prey ,466, Predator ,483, Grass ,1216
Prey ,483, Predator ,473, Grass ,1228
Prey ,466, Predator ,472, Grass ,1227
Prey ,466, Predator ,483, Grass ,1225
Prey ,471, Predator ,474, Grass ,1227
Prey ,468, Predator ,475, Grass ,1225
Prey ,452, Predator ,482, Grass ,1229
Prey ,455, Predator ,493, Grass ,1225
Prey ,453, Predator ,489, Grass ,1223
Prey ,472, Predator ,490, Grass ,1213
Prey ,478, Predator ,491, Grass ,1209
Prey ,463, Predator ,494, Grass ,1210
Prey ,468, Predator ,500, Grass ,1203
Prey ,475, Predator ,487, Grass ,1195
Prey ,470, Predator ,480, Grass ,1199
Prey ,489, Predator ,480, Grass ,1188
Prey ,501, Predator ,481, Grass ,1194
Prey ,503, Predator ,476, Grass ,1211
Prey ,484, Predator ,468, Grass ,1196
Prey ,492, Predator ,469, Grass ,1197
Prey ,484, Predator ,463, Grass ,1184
Prey ,479, Predator ,465, Grass ,1194
Prey ,492, Predator ,460, Grass ,1188
Prey ,500, Predator ,468, Grass ,1191
Prey ,486, Predator ,473, Grass ,1189
Prey ,478, Predator ,474, Grass ,1190
Prey ,473, Predator ,469, Grass ,1197
Prey ,449, Predator ,467, Grass ,1201
Prey ,443, Predator ,461, Grass ,1211
Prey ,439, Predator ,459, Grass ,1211
Prey ,440, Predator ,465, Grass ,1224
Prey ,438, Predator ,469, Grass ,1222
Prey ,452, Predator ,470, Grass ,1215
Prey ,453, Predator ,465, Grass ,1217
Prey ,447, Predator ,451, Grass ,1218
Prey ,443, Predator ,443, Grass ,1219
Prey ,424, Predator ,440, Grass ,1211
Prey ,437, Predator ,435, Grass ,1230
Prey ,435, Predator ,440, Grass ,1230
Prey ,446, Predator ,432, Grass ,1228
Prey ,431, Predator ,423, Grass ,1225
Prey ,444, Predator ,417, Grass ,1231
Prey ,455, Predator ,420, Grass ,1231
Prey ,466, Predator ,417, Grass ,1238
Prey ,481, Predator ,413, Grass ,1224
Prey ,491, Predator ,406, Grass ,1215
Prey ,482, Predator ,399, Grass ,1218
Prey ,483, Predator ,402, Grass ,1216
Prey ,487, Predator ,410, Grass ,1227
Prey ,487, Predator ,415, Grass ,1231
Prey ,482, Predator ,416, Grass ,1218
Prey ,500, Predator ,402, Grass ,1227
Prey ,488, Predator ,410, Grass ,1220
Prey ,485, Predator ,402, Grass ,1227
Prey ,479, Predator ,397, Grass ,1214
Prey ,463, Predator ,398, Grass ,1214
Prey ,450, Predator ,404, Grass ,1233
Prey ,457, Predator ,401, Grass ,1232
Prey ,442, Predator ,408, Grass ,1230
Prey ,466, Predator ,411, Grass ,1228
